
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="No controls",="Basic controls",="Full controls",="Reweighted",=">=4 layoffs"

="=1 if eligible for severance pay (tenure >= 1095 days)",="-0.1249***",="-0.1148***",="-0.0943***",="-0.1148***",="-0.1317**"
="",="(0.0168)",="(0.0180)",="(0.0191)",="(0.0180)",="(0.0580)"

="=1 if eligible for 30-week UI (dempl5 >= 1095 days)",="-0.0935***",="-0.0637***",="-0.0664***",="-0.0637***",="-0.0786"
="",="(0.0156)",="(0.0166)",="(0.0175)",="(0.0166)",="(0.0583)"

="Observations",="650922",="565835",="509355",="565835",="48390"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
